State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Maharashtra,4666,572,232,3862,20/04/2020 20:42:26,MH,0,0,0,
Delhi,2081,431,47,1603,20/04/2020 22:22:39,DL,0,0,0,
Gujarat,1939,131,71,1737,21/04/2020 17:42:39,GJ,0,0,0,
Rajasthan,1576,205,25,1346,21/04/2020 17:42:41,RJ,0,0,0,
Tamil Nadu,1520,457,17,1046,20/04/2020 18:12:27,TN,0,0,0,
Madhya Pradesh,1485,138,76,1271,20/04/2020 22:22:43,MP,0,0,0,
Uttar Pradesh,1184,140,18,1026,21/04/2020 17:42:41,UP,0,0,0,
Telangana,872,186,23,663,20/04/2020 20:42:29,TG,0,0,0,
Andhra Pradesh,722,92,20,610,21/04/2020 17:42:42,AP,0,0,0,
Karnataka,408,112,16,280,21/04/2020 17:42:43,KA,0,0,0,
Kerala,407,291,2,114,20/04/2020 18:07:32,KL,0,0,0,
Jammu and Kashmir,368,71,5,292,20/04/2020 18:07:33,JK,0,0,0,
West Bengal,339,66,12,261,21/04/2020 17:42:44,WB,0,0,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Haryana,251,141,3,107,20/04/2020 20:42:30,HR,0,0,0,1 death in Ambala unaccounted.
Punjab,245,38,16,191,21/04/2020 17:42:44,PB,0,0,0,
Bihar,113,42,2,69,20/04/2020 19:33:33,BR,0,0,0,
Odisha,74,24,1,49,21/04/2020 15:32:31,OR,0,0,0,
Uttarakhand,46,18,0,28,18/04/2020 15:26:17,UT,0,0,0,
Jharkhand,42,4,2,36,21/04/2020 17:42:45,JH,0,0,0,
Himachal Pradesh,39,16,2,21,18/04/2020 19:15:06,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,25,0,11,18/04/2020 19:36:06,CT,0,0,0,
Assam,35,19,1,15,20/04/2020 08:45:06,AS,0,0,0,Includes one case from Nagaland
Chandigarh,26,14,0,12,19/04/2020 17:45:25,CH,0,0,0,
Ladakh,18,14,0,4,16/04/2020 15:13:07,LA,0,0,0,
Andaman and Nicobar Islands,16,11,0,5,20/04/2020 18:07:34,AN,0,0,0,
Meghalaya,11,0,1,10,21/04/2020 17:42:46,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,1,0,1,10/04/20 08:00 PM,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
